ts	phase	decision	why	evidence	result
2026-09-14T17:16:00Z	list	put this VM live run on one checklist and keep it as the only progress table	a second copy would drift from the real origin and App	docs/development/2026-09-14-b026-cloud-live-01/CHECKLIST.md	open
2026-09-14T17:16:00Z	sequence	drive LIVE-04 next and leave logout for after LIVE-09	the workspace list already rendered, so reconnect is the next A-only item that still needs a purpose=reconnect row	CHECKLIST.md next item	LIVE-04 NOT_RUN
2026-09-14T17:21:27Z	live-04	treat the first reconnect click as a failed LIVE-04, not a PASS	the proxy recorded POST /api/auth/github/reconnect 401 then login 201; the workspace SPA still showed catmem after the 30 minute idle window	evidence/live-04-attempt1-proxy.txt snapshots/after-live-04-attempt.json	FAIL retry now
2026-09-14T17:26:41Z	live-04	accept LIVE-04 on the second click after a fresh session	proxy POST reconnect 201, attempt e8271f6b-71f0-4653-ad10-f0fb6dfa54fa confirmed, epoch 5 to 6, generation 3 revoked and 4 active, same GitHub id 137759882	snapshots/after-live-04-attempt2.json evidence/live-04-attempt2-proxy.txt evidence/live-04-reconnect-confirmed.webp	PASS
2026-09-14T17:32:00Z	live-08	keep LIVE-08 open after a one-page footer check	UI shows partial coverage and page 1 of 15 with next disabled; that is not a limit=5 cursor walk and out-of-install id is empty	CHECKLIST.md LIVE-08	OBSERVED_NOT_CLOSED
2026-09-14T17:48:00Z	live-07	skip LIVE-07 after GitHub sudo Confirm access	holder cannot complete 2FA/Mobile/email on this agent; do not invent credentials or treat installation-missing as APP_PERMISSION_MISSING	evidence/live-07-blocked.md evidence/live-07-blocked-github-sudo.webp	BLOCKED
2026-09-14T17:50:00Z	live-02	skip LIVE-02 Cancel	GitHub auto-consents the already-authorized account; do not burn the live workspace to force a cancel page	CHECKLIST.md LIVE-02	BLOCKED
2026-09-14T17:57:47Z	live-03	accept LIVE-03 on the 16:20 login plus cookie flags	attempt 0c8eb712 confirmed; session user.id matches github 137759882/catmem; Chrome store shows __Host- session and binding Secure HttpOnly Lax Path=/; values omitted	evidence/live-03-login-identity.json evidence/live-03-cookie-flags.json evidence/live-03-proxy.txt	PASS
2026-09-14T17:57:47Z	live-06	accept LIVE-06 from redacted repositories JSON and UI	fixture repo_00000000001367444901 userParticipation=allowed appCapability=allowed; 15 items 1 app-allowed; UI App 能力已核实	evidence/live-06-fixture.json snapshots/after-live-06.json	PASS
2026-09-14T17:57:47Z	live-08	accept LIVE-08 A-only pagination and partial coverage	limit=5 three pages 15 unique ids terminal partial APP_INSTALLATION_SCOPE; out-of-install id empty so no named absence sample; USER-READ still deferred	evidence/live-08-pagination.jsonl	PASS
2026-09-14T17:59:08Z	live-09	freeze the current epoch-6 connection as the LIVE-09 baseline	LIVE-07 restore reconnect was skipped; do not login, reconnect, or edit expiry; wait until 2026-09-15T01:26:10Z	snapshots/pre-live-09.json	WAITING
2026-09-14T18:03:32Z	live-09	confirm the connection is still epoch 6 with no new attempts	watch snapshot matches pre-live-09 status/epoch/revision/refresh_state/expiry and attempt_counts	snapshots/live-09-watch-1803.json	WAITING
2026-09-14T18:06:00Z	live-10	observe the signed-in workspace in a narrow window then restore desktop	xdotool narrowed Chrome then restored 1820x1100; still catmem; did not logout	evidence/live-10-mobile-pre.md	WAITING
