ts	phase	decision	why	evidence	result
2026-09-14T00:00:00Z	baseline	Use main 43d8c2afab1022f991530747ccac0cc99bf0c294 with a clean initial worktree.	The closeout must preserve existing work and product evidence.	git rev-parse HEAD; git status --short	CONFIRMED
2026-09-14T00:01:00Z	unknown-options	Select controlled operator evidence instead of provider credential automatic revocation.	It closes local responsibility without freezing an unselected provider protocol or adding a service.	docs/current/backend-model-operations-draft.md §4.3	SELECTED_DESIGN_ONLY
2026-09-14T00:02:00Z	decision-01	Mirror the current Submit outstanding block in Preview and keep Submit recheck plus original receipt priority.	Preview must guide recovery without acting as a lock or suppressing a later race.	docs/current/model-settings-browser-api-draft.md §4	CLOSED_DESIGN_ONLY
2026-09-14T00:03:00Z	decision-02	Separate missing handler from failed handler observation and close unknown only with two bound evidence classes.	Read failure must not create an operation, and unknown must not authorize a second send.	docs/current/backend-model-operations-draft.md §§4.1-4.3	CLOSED_DESIGN_ONLY
2026-09-14T00:04:00Z	decision-03	Keep account first for all owner writes; use slot then catalog then Provider for B04 saves and sorted owner accounts then catalog for imports.	The common account lock serializes same-owner writers while existing project use cases keep their implemented suffix order.	internal/models/service.go; internal/projects/service.go; internal/projects/catalog_writer.go; internal/sources/import.go	CLOSED_DESIGN_ONLY
2026-09-14T00:05:00Z	decision-04	Give schema2 one authoritative executionProfiles collection and keep schema1 exact replay.	Base Manifest plus a second collection allowed two execution truths.	docs/development/2026-09-13-b04-b06-design-01/b05.go.txt	CLOSED_DESIGN_ONLY
2026-09-14T00:06:00Z	decision-05	Derive window scope_id from mutually exclusive actor/project foreign keys and keep the canonical UTC-day composite key.	Callers cannot claim another scope, and a single scope/day has one possible key.	docs/development/2026-09-13-b04-b06-design-01/migration-design.md	CLOSED_DESIGN_ONLY
2026-09-14T00:07:00Z	frontend-ownership	Extend modelRecovery.ts and keep projectRecovery.ts as B03 owner; migrate SaveLocator callers in one implementation wave.	Shared mechanics do not justify merging business reducers or project input rules.	docs/current/first-batch-recovery-design.md §R01.1; frontend.ts.txt	DESIGN_ONLY
2026-09-14T00:08:00Z	verification	Run read-only static checks without the historical mutating verifier.	This change is documentation and declarations; runtime evidence must remain NOT_RUN.	git diff --check; Go declaration parser; TypeScript strict declarations; local links/anchors; focused semantic checks	PASS_STATIC_ONLY
2026-09-14T00:09:00Z	independent-review	Accept the frozen diff after a final independent read-only review with no findings.	The selected closeouts need independent confirmation without rewriting historical evidence or running product behavior.	TypeScript strict PASS; Go 31 package sections and 452 declarations PASS; 173 local links/anchors PASS; git diff --check exit 0; protected statuses and scope confirmed	PASS_NO_FINDINGS
