ts	phase	decision	why	evidence	result
2026-09-15T09:46:00Z	frame	B05-B11 物理合表只改物理承载，63 张旧提案压到 33 张；B01-B04 与已采用逻辑/API 不动	用户明确授权合表设计，已采用语义和现有实现不能因文档整理改变	docs/development/2026-09-15-table-consolidation-01/PLAN.md	本轮范围与所有权已写入计划
2026-09-15T09:52:00Z	boundary	新候选、组合版本与 schema2 导入回执必须显式登记，不折进摘要	合表不能隐藏候选身份、组合版本或导入回执，必须设备校验而非口头保证	docs/api-database/table-manifest.json	required_content 三角色已登记；candidate/combination 指向 change_set_versions
2026-09-15T10:05:00Z	format	正文声明采用可见独立行，格式为“物理表：`schema.table`”，不用 HTML 注释	父代理最终裁决；HTML 注释会被生成器转义，可见行同时服务读者和校验器	docs/api-database/README.md,docs/api-database/foundations.md	已回报 b05 与 b06-b08 作者；校验器按整行匹配
2026-09-15T10:10:00Z	counts	已有表全量 37 = 手册基线 36（35 业务 + 1 系统表）+ 0007 扫描表 1；手册范围 69、全仓含扫描 70	源码 CREATE 清点显示 0001 至 0006 共 36 张，0007 另建 repomesh_scan.repositories；两个口径都要公开	internal/database/migrations/0001..0007	manifest 分 manual_baseline 与 scan 两组；首页显示 36/1/33/69/70
2026-09-15T10:12:00Z	attribution	b10 9 张、b11 2 张，按首次依赖归属；candidate/combination 用 change_set_versions 子型，废弃 round_combinations	B10 首次单轮候选就需要 change_set_versions；cross_repo_edges 与 result_admissions 只在 B11 跨仓与采纳流程首次需要	analysis/astra-b10-b11.md	manifest 批次 b10=9、b11=2；required_content 指向 change_set_versions
2026-09-15T10:16:00Z	portability	Astra 方案副本移入本目录 analysis/，plan_source 与计数校验不依赖 /tmp 或个人目录	可维护文件不能引用临时路径，否则后续复用与审计会失效	docs/development/2026-09-15-table-consolidation-01/analysis/	manifest 路径全部仓库相对；verify_design.py 检查绝对路径与临时目录字符串
2026-09-15T10:18:00Z	audit	verify_design.py 默认只查清单/正文/来源/统计；417 项 baseline 只在显式 --baseline 时用于本轮范围保护审计	历史 417 项不应成为今后每次文档更新都冻结全部产品代码的条件	docs/api-database/verify_design.py,docs/api-database/README.md	日常与本轮审计命令已分列；baseline 仅支持本轮结构与裸字典
2026-09-15T10:20:00Z	status	manifest 在章节声明齐备前保持 in_progress，交付完成时改为 design_only 并写明语义	用户批准的是物理整理；候选业务状态不变，静态检查不能宣称数据库行为已验证	docs/api-database/table-manifest.json	status_note 已写入；--strict 在 design_only 下要求声明齐备
2026-09-15T10:45:00Z	revision	正式修订为 34 张：B10 新增第 34 张 repomesh_execution.business_plan_versions	Astra 独立复核查明原目录漏掉业务 Plan Version 且误称 B06 提供；ADR-0003 的 YOLO 计划许可与全部目标读回生效、ADR-0015 跨轮复用都要求该实体，隐藏依赖或并入技术 plan_revisions 都不成立	docs/development/2026-09-15-table-consolidation-01/analysis/review-b10-b11.md	manifest b10=10、总 34；手册范围 70、全仓含扫描 71；旧表映射仍 63，净减 29 约 46%
2026-09-15T11:10:00Z	provenance	第 34 张表标为 new_required_dependency 并记录设计稿链接；B06 新 issues 的 3 列由 B10 时扩充	业务 Plan Version 不能从旧 20 表虚构映射；许可/激活与逐目标绑定用 execution_records 子型承载，B06 表数不变但需在 B10 实施时补指针与版本计数列	docs/development/2026-09-15-table-consolidation-01/analysis/business-plan-versions.md	manifest design_ref 与公共专题说明已同步；verify_design 要求 new_required_dependency 提供存在的 design_ref
2026-09-15T11:25:00Z	review	纳入 review-business-plan.md 作为第 34 张表的最终优先级依据；四份独立复核全部保存到 analysis/	复核仍在 34 张内提出 P1/P2 修复，不新增表；清单需要可追溯的优先级来源	docs/development/2026-09-15-table-consolidation-01/analysis/review-business-plan.md	manifest review_documents 登记四份复核；verify_design 校验其仓库相对路径存在
2026-09-15T11:55:00Z	freeze	正式冻结：manifest.status=design_only，生成最终 index.html 并固定摘要，四份设计复核均已落实	34 声明齐备且 b05/b10 与 b11 作者明确交稿；冻结后不再修改被渲染正文与 manifest，保证浏览器证据不陈旧	docs/api-database/index.html	digest 3fcaa0b1538417331fcdc62037f55d69c69b7f1f7ef3b793a023f0d54e647c09；sha256 475948a66d800a4db3d35e522130cfd219d3c97ada15b064ec51c343632ab180；render --check、verify_design --strict --baseline、verify_renderer 20/20 全部通过；未运行 SQL/服务/外部恢复
2026-09-15T12:20:00Z	closeout	浏览器检查 25/25 通过，证据收口；最终正文优先，analysis 仅作过程证据	HTML SHA-256 与冻结值一致，父代理已人工核 B10 宽窄屏；历史分析副本不能作为永久优先级来源	docs/development/2026-09-15-table-consolidation-01/browser-checks.json	README/PLAN/decisions 已更新为最终状态；不再修改 manifest、HTML 或渲染正文
