功能编号,产品功能,PRD分册,主要依据（相对项目根目录）,备注
ACC-01,首位管理员初始化,02-账号工作区与首次使用.md,docs/architecture/human-supervision.md；frontend/src/components/LoginPage.tsx；frontend/src/components/LocalAccountsPanel.tsx；frontend/src/components/SidebarV2.tsx；frontend/src/api/auth.ts,成熟度与原型边界见所属分册
ACC-02,登录与退出,02-账号工作区与首次使用.md,docs/architecture/human-supervision.md；frontend/src/components/LoginPage.tsx；frontend/src/components/LocalAccountsPanel.tsx；frontend/src/components/SidebarV2.tsx；frontend/src/api/auth.ts,成熟度与原型边界见所属分册
ACC-03,本地账户管理,02-账号工作区与首次使用.md,docs/architecture/human-supervision.md；frontend/src/components/LoginPage.tsx；frontend/src/components/LocalAccountsPanel.tsx；frontend/src/components/SidebarV2.tsx；frontend/src/api/auth.ts,成熟度与原型边界见所属分册
ACC-04,工作区创建与切换,02-账号工作区与首次使用.md,docs/architecture/human-supervision.md；frontend/src/components/LoginPage.tsx；frontend/src/components/LocalAccountsPanel.tsx；frontend/src/components/SidebarV2.tsx；frontend/src/api/auth.ts,成熟度与原型边界见所属分册
ACC-05,角色与范围授权,02-账号工作区与首次使用.md,docs/architecture/human-supervision.md；frontend/src/components/LoginPage.tsx；frontend/src/components/LocalAccountsPanel.tsx；frontend/src/components/SidebarV2.tsx；frontend/src/api/auth.ts,成熟度与原型边界见所属分册
ACC-06,账户与会话完善,02-账号工作区与首次使用.md,docs/architecture/human-supervision.md；frontend/src/components/LoginPage.tsx；frontend/src/components/LocalAccountsPanel.tsx；frontend/src/components/SidebarV2.tsx；frontend/src/api/auth.ts,成熟度与原型边界见所属分册
ACC-07,企业统一登录,02-账号工作区与首次使用.md,docs/architecture/human-supervision.md；frontend/src/components/LoginPage.tsx；frontend/src/components/LocalAccountsPanel.tsx；frontend/src/components/SidebarV2.tsx；frontend/src/api/auth.ts,成熟度与原型边界见所属分册
SET-01,首次配置向导,02-账号工作区与首次使用.md,frontend/src/pages/SetupWizardPage.tsx；frontend/src/pages/SettingsPage.tsx；frontend/src/api/platformSetup.ts,成熟度与原型边界见所属分册
SET-02,模型连接,02-账号工作区与首次使用.md,frontend/src/pages/SetupWizardPage.tsx；frontend/src/pages/SettingsPage.tsx；frontend/src/api/platformSetup.ts,成熟度与原型边界见所属分册
SET-03,仓库托管服务连接,02-账号工作区与首次使用.md,frontend/src/pages/SetupWizardPage.tsx；frontend/src/pages/SettingsPage.tsx；frontend/src/api/platformSetup.ts,成熟度与原型边界见所属分册
